drug_name,disease_name,protein_name
doxorubicin,plasma cell myeloma,dna topoisomerase ii alpha
doxorubicin,neuroblastoma,dna topoisomerase ii alpha
doxorubicin,ovarian cancer,dna topoisomerase ii alpha
doxorubicin,small cell lung carcinoma,dna topoisomerase ii alpha
doxorubicin,wilms tumor,dna topoisomerase ii alpha
cortisol,acne,nuclear receptor subfamily 3 group c member 1
cortisol,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
cortisol,angioedema,nuclear receptor subfamily 3 group c member 1
cortisol,ulcerative colitis,nuclear receptor subfamily 3 group c member 1
cortisol,atopic conjunctivitis,nuclear receptor subfamily 3 group c member 1
cortisol,corneal ulcer,nuclear receptor subfamily 3 group c member 1
cortisol,crohn disease,nuclear receptor subfamily 3 group c member 1
cortisol,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
cortisol,granuloma annulare,nuclear receptor subfamily 3 group c member 1
cortisol,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
cortisol,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
cortisol,iridocyclitis,nuclear receptor subfamily 3 group c member 1
cortisol,iritis,nuclear receptor subfamily 3 group c member 1
cortisol,keratitis,nuclear receptor subfamily 3 group c member 1
cortisol,laryngeal edema,nuclear receptor subfamily 3 group c member 1
cortisol,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
cortisol,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
cortisol,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
cortisol,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
cortisol,neurodermatitis,nuclear receptor subfamily 3 group c member 1
cortisol,otitis externa,nuclear receptor subfamily 3 group c member 1
cortisol,proctitis,nuclear receptor subfamily 3 group c member 1
cortisol,pulmonary eosinophilia,nuclear receptor subfamily 3 group c member 1
cortisol,rheumatic heart disease,nuclear receptor subfamily 3 group c member 1
cortisol,rosacea,nuclear receptor subfamily 3 group c member 1
cortisol,canker sore,nuclear receptor subfamily 3 group c member 1
cortisol,tenosynovitis,nuclear receptor subfamily 3 group c member 1
cortisol,tinea pedis,nuclear receptor subfamily 3 group c member 1
cortisol,trichinellosis,nuclear receptor subfamily 3 group c member 1
cortisol,uveitis,nuclear receptor subfamily 3 group c member 1
naproxen,arthralgia,prostaglandin-endoperoxide synthase 1
naproxen,arthralgia,prostaglandin-endoperoxide synthase 2
naproxen,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
naproxen,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
naproxen,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
naproxen,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
naproxen,bursitis,prostaglandin-endoperoxide synthase 1
naproxen,bursitis,prostaglandin-endoperoxide synthase 2
naproxen,dysmenorrhea,prostaglandin-endoperoxide synthase 1
naproxen,dysmenorrhea,prostaglandin-endoperoxide synthase 2
naproxen,fever,prostaglandin-endoperoxide synthase 1
naproxen,fever,prostaglandin-endoperoxide synthase 2
naproxen,gout,prostaglandin-endoperoxide synthase 1
naproxen,gout,prostaglandin-endoperoxide synthase 2
naproxen,headache disorder,prostaglandin-endoperoxide synthase 1
naproxen,headache disorder,prostaglandin-endoperoxide synthase 2
naproxen,migraine disorder,prostaglandin-endoperoxide synthase 1
naproxen,migraine disorder,prostaglandin-endoperoxide synthase 2
naproxen,myalgia,prostaglandin-endoperoxide synthase 1
naproxen,myalgia,prostaglandin-endoperoxide synthase 2
naproxen,osteoarthritis,prostaglandin-endoperoxide synthase 1
naproxen,osteoarthritis,prostaglandin-endoperoxide synthase 2
naproxen,pain,prostaglandin-endoperoxide synthase 1
naproxen,ankylosing spondylitis,prostaglandin-endoperoxide synthase 1
naproxen,ankylosing spondylitis,prostaglandin-endoperoxide synthase 2
naproxen,tendinopathy,prostaglandin-endoperoxide synthase 1
naproxen,tendinopathy,prostaglandin-endoperoxide synthase 2
naproxen,toothache,prostaglandin-endoperoxide synthase 1
naproxen,toothache,prostaglandin-endoperoxide synthase 2
pheniramine,common cold,histamine receptor h1
pheniramine,atopic conjunctivitis,histamine receptor h1
pheniramine,cough,histamine receptor h1
pheniramine,fever,histamine receptor h1
pheniramine,headache disorder,histamine receptor h1
pheniramine,pharyngitis,histamine receptor h1
pheniramine,pruritus,histamine receptor h1
pheniramine,allergic rhinitis,histamine receptor h1
pheniramine,seasonal allergic rhinitis,histamine receptor h1
pheniramine,sneeze,histamine receptor h1
pheniramine,urticaria,histamine receptor h1
pheniramine,vasomotor rhinitis,histamine receptor h1
levoketoconazole,adrenal gland hyperfunction,cytochrome p450 family 17 subfamily a member 1
methylprednisolone,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
methylprednisolone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
methylprednisolone,angioedema,nuclear receptor subfamily 3 group c member 1
methylprednisolone,gout,nuclear receptor subfamily 3 group c member 1
methylprednisolone,juvenile idiopathic arthritis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,rheumatoid arthritis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,asthma,nuclear receptor subfamily 3 group c member 1
methylprednisolone,autoimmune disease,nuclear receptor subfamily 3 group c member 1
methylprednisolone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
methylprednisolone,brain edema,nuclear receptor subfamily 3 group c member 1
methylprednisolone,bursitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,crohn disease,nuclear receptor subfamily 3 group c member 1
methylprednisolone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
methylprednisolone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,exfoliative dermatitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
methylprednisolone,exanthem,nuclear receptor subfamily 3 group c member 1
methylprednisolone,eye disorder,nuclear receptor subfamily 3 group c member 1
methylprednisolone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
methylprednisolone,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
methylprednisolone,humoral hypercalcemia of malignancy,cytochrome p450 family 27 subfamily b member 1
methylprednisolone,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
methylprednisolone,laryngeal edema,nuclear receptor subfamily 3 group c member 1
methylprednisolone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
methylprednisolone,systemic lupus erythematosus,nuclear receptor subfamily 3 group c member 1
methylprednisolone,follicular lymphoma,nuclear receptor subfamily 3 group c member 1
methylprednisolone,non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
methylprednisolone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
methylprednisolone,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,musculoskeletal system disorder,nuclear receptor subfamily 3 group c member 1
methylprednisolone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
methylprednisolone,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
methylprednisolone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,pemphigus,nuclear receptor subfamily 3 group c member 1
methylprednisolone,aspiration pneumonia,nuclear receptor subfamily 3 group c member 1
methylprednisolone,pruritus ani,nuclear receptor subfamily 3 group c member 1
methylprednisolone,psoriasis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,pulmonary eosinophilia,nuclear receptor subfamily 3 group c member 1
methylprednisolone,rheumatic heart disease,nuclear receptor subfamily 3 group c member 1
methylprednisolone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,serum sickness,nuclear receptor subfamily 3 group c member 1
methylprednisolone,skin disorder,nuclear receptor subfamily 3 group c member 1
methylprednisolone,ankylosing spondylitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,synovitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,tendinopathy,nuclear receptor subfamily 3 group c member 1
methylprednisolone,epicondylitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,thyroiditis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,trichinellosis,nuclear receptor subfamily 3 group c member 1
methylprednisolone,miliary tuberculosis,nuclear receptor subfamily 3 group c member 1
triamcinolone,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
triamcinolone,angioedema,nuclear receptor subfamily 3 group c member 1
triamcinolone,gout,nuclear receptor subfamily 3 group c member 1
triamcinolone,juvenile idiopathic arthritis,nuclear receptor subfamily 3 group c member 1
triamcinolone,rheumatoid arthritis,nuclear receptor subfamily 3 group c member 1
triamcinolone,asthma,nuclear receptor subfamily 3 group c member 1
triamcinolone,autoimmune disease,nuclear receptor subfamily 3 group c member 1
triamcinolone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,exfoliative dermatitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
triamcinolone,humoral hypercalcemia of malignancy,nuclear receptor subfamily 3 group c member 1
triamcinolone,systemic lupus erythematosus,nuclear receptor subfamily 3 group c member 1
triamcinolone,follicular lymphoma,nuclear receptor subfamily 3 group c member 1
triamcinolone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
triamcinolone,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
triamcinolone,sympathetic ophthalmia,nuclear receptor subfamily 3 group c member 1
triamcinolone,psoriasis,nuclear receptor subfamily 3 group c member 1
triamcinolone,rheumatic heart disease,nuclear receptor subfamily 3 group c member 1
triamcinolone,serum sickness,nuclear receptor subfamily 3 group c member 1
triamcinolone,ankylosing spondylitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,synovitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,epicondylitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
triamcinolone,bursitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,cutaneous candidiasis,nuclear receptor subfamily 3 group c member 1
triamcinolone,exanthem,nuclear receptor subfamily 3 group c member 1
triamcinolone,eye disorder,nuclear receptor subfamily 3 group c member 1
triamcinolone,temporal arteritis,nuclear receptor subfamily 3 group c member 1
triamcinolone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
triamcinolone,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
triamcinolone,non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
triamcinolone,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
triamcinolone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
triamcinolone,pruritus ani,nuclear receptor subfamily 3 group c member 1
triamcinolone,seasonal allergic rhinitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
triamcinolone,canker sore,nuclear receptor subfamily 3 group c member 1
triamcinolone,tendinopathy,nuclear receptor subfamily 3 group c member 1
triamcinolone,uveitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
triamcinolone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
triamcinolone,brain edema,nuclear receptor subfamily 3 group c member 1
triamcinolone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
triamcinolone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
triamcinolone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
triamcinolone,laryngeal edema,nuclear receptor subfamily 3 group c member 1
triamcinolone,musculoskeletal system disorder,nuclear receptor subfamily 3 group c member 1
triamcinolone,pemphigus,nuclear receptor subfamily 3 group c member 1
triamcinolone,aspiration pneumonia,nuclear receptor subfamily 3 group c member 1
triamcinolone,pulmonary eosinophilia,nuclear receptor subfamily 3 group c member 1
triamcinolone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,skin disorder,nuclear receptor subfamily 3 group c member 1
triamcinolone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
triamcinolone,thyroiditis,nuclear receptor subfamily 3 group c member 1
triamcinolone,trichinellosis,nuclear receptor subfamily 3 group c member 1
triamcinolone,miliary tuberculosis,nuclear receptor subfamily 3 group c member 1
triamcinolone,diffuse alopecia areata,nuclear receptor subfamily 3 group c member 1
triamcinolone,keloid,nuclear receptor subfamily 3 group c member 1
triamcinolone,lichen planus,nuclear receptor subfamily 3 group c member 1
triamcinolone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
triamcinolone,necrobiosis lipoidica,nuclear receptor subfamily 3 group c member 1
triamcinolone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
cortisone,acne,nuclear receptor subfamily 3 group c member 1
cortisone,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
cortisone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
cortisone,angioedema,nuclear receptor subfamily 3 group c member 1
cortisone,gout,nuclear receptor subfamily 3 group c member 1
cortisone,juvenile idiopathic arthritis,nuclear receptor subfamily 3 group c member 1
cortisone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
cortisone,rheumatoid arthritis,nuclear receptor subfamily 3 group c member 1
cortisone,asthma,nuclear receptor subfamily 3 group c member 1
cortisone,autoimmune disease,nuclear receptor subfamily 3 group c member 1
cortisone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
cortisone,brain edema,nuclear receptor subfamily 3 group c member 1
cortisone,bursitis,nuclear receptor subfamily 3 group c member 1
cortisone,ulcerative colitis,nuclear receptor subfamily 3 group c member 1
cortisone,atopic conjunctivitis,nuclear receptor subfamily 3 group c member 1
cortisone,corneal ulcer,nuclear receptor subfamily 3 group c member 1
cortisone,crohn disease,nuclear receptor subfamily 3 group c member 1
cortisone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
cortisone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
cortisone,exfoliative dermatitis,nuclear receptor subfamily 3 group c member 1
cortisone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
cortisone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
cortisone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
cortisone,exanthem,nuclear receptor subfamily 3 group c member 1
cortisone,eye disorder,nuclear receptor subfamily 3 group c member 1
cortisone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
cortisone,hemorrhoid,nuclear receptor subfamily 3 group c member 1
cortisone,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
cortisone,humoral hypercalcemia of malignancy,cytochrome p450 family 27 subfamily b member 1
cortisone,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
cortisone,iridocyclitis,nuclear receptor subfamily 3 group c member 1
cortisone,iritis,nuclear receptor subfamily 3 group c member 1
cortisone,laryngeal edema,nuclear receptor subfamily 3 group c member 1
cortisone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
cortisone,systemic lupus erythematosus,nuclear receptor subfamily 3 group c member 1
cortisone,follicular lymphoma,nuclear receptor subfamily 3 group c member 1
cortisone,non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
cortisone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
cortisone,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
cortisone,musculoskeletal system disorder,nuclear receptor subfamily 3 group c member 1
cortisone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
cortisone,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
cortisone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
cortisone,otitis externa,nuclear receptor subfamily 3 group c member 1
cortisone,pemphigus,nuclear receptor subfamily 3 group c member 1
cortisone,aspiration pneumonia,nuclear receptor subfamily 3 group c member 1
cortisone,proctitis,nuclear receptor subfamily 3 group c member 1
cortisone,pruritus ani,nuclear receptor subfamily 3 group c member 1
cortisone,psoriasis,nuclear receptor subfamily 3 group c member 1
cortisone,pulmonary eosinophilia,nuclear receptor subfamily 3 group c member 1
cortisone,rheumatic heart disease,nuclear receptor subfamily 3 group c member 1
cortisone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
cortisone,rosacea,nuclear receptor subfamily 3 group c member 1
cortisone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
cortisone,serum sickness,nuclear receptor subfamily 3 group c member 1
cortisone,skin disorder,nuclear receptor subfamily 3 group c member 1
cortisone,ankylosing spondylitis,nuclear receptor subfamily 3 group c member 1
cortisone,canker sore,nuclear receptor subfamily 3 group c member 1
cortisone,synovitis,nuclear receptor subfamily 3 group c member 1
cortisone,tendinopathy,nuclear receptor subfamily 3 group c member 1
cortisone,epicondylitis,nuclear receptor subfamily 3 group c member 1
cortisone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
cortisone,thyroiditis,nuclear receptor subfamily 3 group c member 1
cortisone,tinea pedis,nuclear receptor subfamily 3 group c member 1
cortisone,trichinellosis,nuclear receptor subfamily 3 group c member 1
cortisone,miliary tuberculosis,nuclear receptor subfamily 3 group c member 1
cortisone,uveitis,nuclear receptor subfamily 3 group c member 1
prednisolone,hypersensitivity pneumonitis,nuclear receptor subfamily 3 group c member 1
prednisolone,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
prednisolone,autoimmune hemolytic anemia,nuclear receptor subfamily 3 group c member 1
prednisolone,angioedema,nuclear receptor subfamily 3 group c member 1
prednisolone,gout,nuclear receptor subfamily 3 group c member 1
prednisolone,juvenile idiopathic arthritis,nuclear receptor subfamily 3 group c member 1
prednisolone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
prednisolone,rheumatoid arthritis,nuclear receptor subfamily 3 group c member 1
prednisolone,allergic bronchopulmonary aspergillosis,nuclear receptor subfamily 3 group c member 1
prednisolone,asthma,nuclear receptor subfamily 3 group c member 1
prednisolone,autoimmune disease,nuclear receptor subfamily 3 group c member 1
prednisolone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
prednisolone,brain edema,nuclear receptor subfamily 3 group c member 1
prednisolone,bursitis,nuclear receptor subfamily 3 group c member 1
prednisolone,ulcerative colitis,nuclear receptor subfamily 3 group c member 1
prednisolone,atopic conjunctivitis,nuclear receptor subfamily 3 group c member 1
prednisolone,corneal ulcer,nuclear receptor subfamily 3 group c member 1
prednisolone,crohn disease,nuclear receptor subfamily 3 group c member 1
prednisolone,dacryocystitis,nuclear receptor subfamily 3 group c member 1
prednisolone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
prednisolone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
prednisolone,exfoliative dermatitis,nuclear receptor subfamily 3 group c member 1
prednisolone,dermatitis herpetiformis,nuclear receptor subfamily 3 group c member 1
prednisolone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
prednisolone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
prednisolone,exanthem,nuclear receptor subfamily 3 group c member 1
prednisolone,eye disorder,nuclear receptor subfamily 3 group c member 1
prednisolone,temporal arteritis,nuclear receptor subfamily 3 group c member 1
prednisolone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
prednisolone,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
prednisolone,humoral hypercalcemia of malignancy,cytochrome p450 family 27 subfamily b member 1
prednisolone,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
prednisolone,iridocyclitis,nuclear receptor subfamily 3 group c member 1
prednisolone,iritis,nuclear receptor subfamily 3 group c member 1
prednisolone,keratitis,nuclear receptor subfamily 3 group c member 1
prednisolone,laryngeal edema,nuclear receptor subfamily 3 group c member 1
prednisolone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
prednisolone,systemic lupus erythematosus,nuclear receptor subfamily 3 group c member 1
prednisolone,follicular lymphoma,nuclear receptor subfamily 3 group c member 1
prednisolone,non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
prednisolone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
prednisolone,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
prednisolone,musculoskeletal system disorder,nuclear receptor subfamily 3 group c member 1
prednisolone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
prednisolone,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
prednisolone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
prednisolone,sympathetic ophthalmia,nuclear receptor subfamily 3 group c member 1
prednisolone,pemphigus,nuclear receptor subfamily 3 group c member 1
prednisolone,aspiration pneumonia,nuclear receptor subfamily 3 group c member 1
prednisolone,polymyalgia rheumatica,nuclear receptor subfamily 3 group c member 1
prednisolone,pruritus ani,nuclear receptor subfamily 3 group c member 1
prednisolone,psoriasis,nuclear receptor subfamily 3 group c member 1
prednisolone,pulmonary eosinophilia,nuclear receptor subfamily 3 group c member 1
prednisolone,pulmonary fibrosis,nuclear receptor subfamily 3 group c member 1
prednisolone,rheumatic heart disease,nuclear receptor subfamily 3 group c member 1
prednisolone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
prednisolone,rosacea,nuclear receptor subfamily 3 group c member 1
prednisolone,serum sickness,nuclear receptor subfamily 3 group c member 1
prednisolone,sjogren syndrome,nuclear receptor subfamily 3 group c member 1
prednisolone,skin disorder,nuclear receptor subfamily 3 group c member 1
prednisolone,ankylosing spondylitis,nuclear receptor subfamily 3 group c member 1
prednisolone,stevens-johnson syndrome,nuclear receptor subfamily 3 group c member 1
prednisolone,synovitis,nuclear receptor subfamily 3 group c member 1
prednisolone,tendinopathy,nuclear receptor subfamily 3 group c member 1
prednisolone,epicondylitis,nuclear receptor subfamily 3 group c member 1
prednisolone,tenosynovitis,nuclear receptor subfamily 3 group c member 1
prednisolone,thyroiditis,nuclear receptor subfamily 3 group c member 1
prednisolone,miliary tuberculosis,nuclear receptor subfamily 3 group c member 1
prednisolone,uveitis,nuclear receptor subfamily 3 group c member 1
betamethasone,diamond-blackfan anemia,nuclear receptor subfamily 3 group c member 1
betamethasone,juvenile idiopathic arthritis,nuclear receptor subfamily 3 group c member 1
betamethasone,rheumatoid arthritis,nuclear receptor subfamily 3 group c member 1
betamethasone,asthma,nuclear receptor subfamily 3 group c member 1
betamethasone,autoimmune disease,nuclear receptor subfamily 3 group c member 1
betamethasone,chronic beryllium disease,nuclear receptor subfamily 3 group c member 1
betamethasone,brain edema,nuclear receptor subfamily 3 group c member 1
betamethasone,bursitis,nuclear receptor subfamily 3 group c member 1
betamethasone,exfoliative dermatitis,nuclear receptor subfamily 3 group c member 1
betamethasone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
betamethasone,erythema multiforme,nuclear receptor subfamily 3 group c member 1
betamethasone,eye disorder,nuclear receptor subfamily 3 group c member 1
betamethasone,classic hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
betamethasone,inflammatory bowel disease,nuclear receptor subfamily 3 group c member 1
betamethasone,laryngeal edema,nuclear receptor subfamily 3 group c member 1
betamethasone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
betamethasone,systemic lupus erythematosus,nuclear receptor subfamily 3 group c member 1
betamethasone,follicular lymphoma,nuclear receptor subfamily 3 group c member 1
betamethasone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
betamethasone,multiple sclerosis,nuclear receptor subfamily 3 group c member 1
betamethasone,musculoskeletal system disorder,nuclear receptor subfamily 3 group c member 1
betamethasone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
betamethasone,nephrotic syndrome,nuclear receptor subfamily 3 group c member 1
betamethasone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
betamethasone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
betamethasone,sarcoidosis,nuclear receptor subfamily 3 group c member 1
betamethasone,scalp dermatosis,nuclear receptor subfamily 3 group c member 1
betamethasone,serum sickness,nuclear receptor subfamily 3 group c member 1
betamethasone,skin disorder,nuclear receptor subfamily 3 group c member 1
betamethasone,tendinopathy,nuclear receptor subfamily 3 group c member 1
betamethasone,epicondylitis,nuclear receptor subfamily 3 group c member 1
betamethasone,thyroiditis,nuclear receptor subfamily 3 group c member 1
betamethasone,tinea pedis,nuclear receptor subfamily 3 group c member 1
betamethasone,trichinellosis,nuclear receptor subfamily 3 group c member 1
betamethasone,miliary tuberculosis,nuclear receptor subfamily 3 group c member 1
betamethasone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
betamethasone,pruritus ani,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,contact dermatitis,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,granuloma annulare,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,pruritus ani,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,exanthem,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,neurodermatitis,nuclear receptor subfamily 3 group c member 1
fluocinolone acetonide,choroiditis,nuclear receptor subfamily 3 group c member 1
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
eliglustat,gaucher disease,udp-glucose ceramide glucosyltransferase
hydroxyurea,ovarian cancer,ribonucleotide reductase catalytic subunit m1
hydroxyurea,head and neck neoplasm,ribonucleotide reductase catalytic subunit m1
hydroxyurea,"chronic myelogenous leukemia, bcr-abl1 positive",ribonucleotide reductase catalytic subunit m1
hydroxyurea,melanoma,ribonucleotide reductase catalytic subunit m1
hydroxyurea,sickle cell anemia,ribonucleotide reductase catalytic subunit m1
everolimus,renal cell carcinoma,mechanistic target of rapamycin kinase
everolimus,breast neoplasm,mechanistic target of rapamycin kinase
everolimus,sebaceous adenoma,mechanistic target of rapamycin kinase
acetazolamide,absence epilepsy,carbonic anhydrase 2
acetazolamide,open-angle glaucoma,carbonic anhydrase 1
acetazolamide,open-angle glaucoma,carbonic anhydrase 14
acetazolamide,open-angle glaucoma,carbonic anhydrase 3
acetazolamide,open-angle glaucoma,carbonic anhydrase 2
acetazolamide,open-angle glaucoma,carbonic anhydrase 4
acetazolamide,open-angle glaucoma,carbonic anhydrase 7
acetazolamide,open-angle glaucoma,carbonic anhydrase 12
acetazolamide,edema,carbonic anhydrase 1
acetazolamide,edema,carbonic anhydrase 14
acetazolamide,edema,carbonic anhydrase 3
acetazolamide,edema,carbonic anhydrase 2
acetazolamide,edema,carbonic anhydrase 4
acetazolamide,edema,carbonic anhydrase 7
acetazolamide,edema,carbonic anhydrase 12
acetazolamide,angle-closure glaucoma,carbonic anhydrase 1
acetazolamide,angle-closure glaucoma,carbonic anhydrase 14
acetazolamide,angle-closure glaucoma,carbonic anhydrase 3
acetazolamide,angle-closure glaucoma,carbonic anhydrase 2
acetazolamide,angle-closure glaucoma,carbonic anhydrase 4
acetazolamide,angle-closure glaucoma,carbonic anhydrase 7
